,province,x,y
0,Hà Giang,-57.0,329.0
1,Cao Bằng,14.0,328.0
2,Lào Cai,-90.0,312.0
3,Sơn La,-105.0,249.0
4,Lai Châu,-134.0,310.0
5,Bắc Kạn,-14.0,307.0
6,Lạng Sơn,23.0,288.0
7,Tuyên Quang,-41.0,301.0
8,Yên Bái,-72.0,281.0
9,Thái Nguyên,-13.0,276.0
10,Điện Biên,-139.0, 271.0
11,Phú Thọ,-47.0,259.0
12,Vĩnh Phúc,-23.0,263.0
13,Bắc Giang,24.0,260.0
14,Bắc Ninh,2.0,250.0
15,Hà Nội,-19.0,246.0
16,Quảng Ninh,66.0,267.0
17,Hải Dương,13.0,239.0
18,Hải Phòng,28.0,234.0
19,Hòa Bình,-37.0,228.0
20,Hưng Yên,-1.0,236.0
21,Hà Nam,-5.0,222.0
22,Thái Bình,14.0,219.0
23,Nam Định,9.0,207.0
24,Ninh Bình,-10.0,206.0
25,Thanh Hóa,-37.0,195.0
26,Nghệ An,-63.0,151.0
27,Hà Tĩnh,-25.0,113.0
28,Quảng Bình,-1.0,81.0
29,Quảng Trị,36.0,36.0
30,Thừa Thiên Huế,63.0,18.0
31,Đà Nẵng,92.0,4.0
32,Quảng Nam,82.0,-23.0
33,Quảng Ngãi,121.0,-50.0
34,Kon Tum,78.0,-66.0
35,Gia Lai,83.0,-110.0
36,Bình Định,137.0,-93.0
37,Phú Yên,142.0,-140.0
38,Đắk Lắk,89.0,-153.0
39,Khánh Hòa,139.0,-182.0
40,Đắk Nông,71.0,-186.0
41,Lâm Đồng,81.0,-213.0
42,Ninh Thuận,134.0,-215.0
43,Bình Phước,31.0,-208.0
44,Tây Ninh,-2.0,-224.0
45,Bình Dương,27.0,-236.0
46,Đồng Nai,47.0,-243.0
47,Bình Thuận,87.0,-246.0
48,Thành Phố Hồ Chí Minh,26.0,-257.0
49,Long An,-4.0,-259.0
50,Bà Rịa Vũng Tàu,58.0,-269.0
51,Đồng Tháp,-25.0,-260.0
52,An Giang,-48.0,-270.0
53,Tiền Giang,0.0,-272.0
54,Vĩnh Long,-7.0,-290.0
55,Bến Tre,18.0,-291.0
56,Cần Thơ,-28.0,-290.0
57,Kiên Giang,-48.0,-304.0
58,Trà Vinh,12.0,-306.0
59,Hậu Giang,-22.0,-305.0
60,Sóc Trăng,-4.0,-314.0
61,Bạc Liêu,-28.0,-331.0
62,Cà Mau,-54.0,-347.0
